rented,hour,temperature,humidity,windspeed,weekday
170,12,.4f,.4f,.4f,2
189,14,.4f,.4f,.4f,4
402,16,.4f,.4f,.4f,6
249,18,.4f,.4f,.4f,1
256,20,.4f,.4f,.4f,3
171,22,.4f,.4f,.4f,5
29,0,.4f,.4f,.4f,1
7,2,.4f,.4f,.4f,3
4,4,.4f,.4f,.4f,5
14,6,.4f,.4f,.4f,0
486,8,.4f,.4f,.4f,2
121,10,.4f,.4f,.4f,4
420,12,.4f,.4f,.4f,6
175,14,.4f,.4f,.4f,1
258,16,.4f,.4f,.4f,3
452,18,.4f,.4f,.4f,5
213,20,.4f,.4f,.4f,0
134,22,.4f,.4f,.4f,2
68,0,.4f,.4f,.4f,5
69,2,.4f,.4f,.4f,0
5,4,.4f,.4f,.4f,2
118,6,.4f,.4f,.4f,4
182,8,.4f,.4f,.4f,6
117,10,.4f,.4f,.4f,1
174,12,.4f,.4f,.4f,3
265,14,.4f,.4f,.4f,5
317,16,.4f,.4f,.4f,0
530,18,.4f,.4f,.4f,2
237,20,.4f,.4f,.4f,4
125,22,.4f,.4f,.4f,6
28,0,.4f,.4f,.4f,2
7,2,.4f,.4f,.4f,4
10,4,.4f,.4f,.4f,6
100,6,.4f,.4f,.4f,1
437,8,.4f,.4f,.4f,3
163,10,.4f,.4f,.4f,5
370,12,.4f,.4f,.4f,0
148,14,.4f,.4f,.4f,2
298,16,.4f,.4f,.4f,4
292,18,.4f,.4f,.4f,6
285,20,.4f,.4f,.4f,1
171,22,.4f,.4f,.4f,3
128,0,.4f,.4f,.4f,6
8,2,.4f,.4f,.4f,1
7,4,.4f,.4f,.4f,3
105,6,.4f,.4f,.4f,5
186,21,.4f,.4f,.4f,0
93,23,.4f,.4f,.4f,2
32,1,.4f,.4f,.4f,5
43,3,.4f,.4f,.4f,0
72,6,.4f,.4f,.4f,2
69,9,.4f,.4f,.4f,4
360,11,.4f,.4f,.4f,6
189,14,.4f,.4f,.4f,1
277,16,.4f,.4f,.4f,3
482,18,.4f,.4f,.4f,5
180,20,.4f,.4f,.4f,0
148,22,.4f,.4f,.4f,2
52,0,.4f,.4f,.4f,5
106,2,.4f,.4f,.4f,0
8,4,.4f,.4f,.4f,2
111,6,.4f,.4f,.4f,4
67,8,.4f,.4f,.4f,6
101,10,.4f,.4f,.4f,1
214,12,.4f,.4f,.4f,3
256,14,.4f,.4f,.4f,5
470,16,.4f,.4f,.4f,0
539,18,.4f,.4f,.4f,2
181,20,.4f,.4f,.4f,4
166,22,.4f,.4f,.4f,6
31,0,.4f,.4f,.4f,2
1,3,.4f,.4f,.4f,4
8,5,.4f,.4f,.4f,6
285,7,.4f,.4f,.4f,1
240,9,.4f,.4f,.4f,3
168,11,.4f,.4f,.4f,5
345,13,.4f,.4f,.4f,0
186,15,.4f,.4f,.4f,2
498,17,.4f,.4f,.4f,4
204,19,.4f,.4f,.4f,6
139,21,.4f,.4f,.4f,1
66,23,.4f,.4f,.4f,3
54,1,.4f,.4f,.4f,6
7,3,.4f,.4f,.4f,1
13,5,.4f,.4f,.4f,3
216,7,.4f,.4f,.4f,5
138,9,.4f,.4f,.4f,0
32,11,.4f,.4f,.4f,2
175,13,.4f,.4f,.4f,4
314,15,.4f,.4f,.4f,6
416,18,.4f,.4f,.4f,1
190,20,.4f,.4f,.4f,3
102,22,.4f,.4f,.4f,5
24,0,.4f,.4f,.4f,1
6,2,.4f,.4f,.4f,3
2,4,.4f,.4f,.4f,5
10,6,.4f,.4f,.4f,0
400,8,.4f,.4f,.4f,2
109,10,.4f,.4f,.4f,4
244,12,.4f,.4f,.4f,6
137,14,.4f,.4f,.4f,1
101,16,.4f,.4f,.4f,3
95,18,.4f,.4f,.4f,5
19,21,.4f,.4f,.4f,0
10,0,.4f,.4f,.4f,3
6,3,.4f,.4f,.4f,5
5,5,.4f,.4f,.4f,0
354,8,.4f,.4f,.4f,2
86,10,.4f,.4f,.4f,4
376,12,.4f,.4f,.4f,6
50,14,.4f,.4f,.4f,1
134,17,.4f,.4f,.4f,3
206,19,.4f,.4f,.4f,5
72,21,.4f,.4f,.4f,0
17,0,.4f,.4f,.4f,3
11,2,.4f,.4f,.4f,5
2,4,.4f,.4f,.4f,0
89,6,.4f,.4f,.4f,2
530,8,.4f,.4f,.4f,4
191,10,.4f,.4f,.4f,6
134,12,.4f,.4f,.4f,1
192,14,.4f,.4f,.4f,3
311,16,.4f,.4f,.4f,5
181,18,.4f,.4f,.4f,0
190,21,.4f,.4f,.4f,2
84,23,.4f,.4f,.4f,4
24,1,.4f,.4f,.4f,0
3,3,.4f,.4f,.4f,2
20,5,.4f,.4f,.4f,4
41,7,.4f,.4f,.4f,6
143,10,.4f,.4f,.4f,1
190,13,.4f,.4f,.4f,3
94,15,.4f,.4f,.4f,5
287,17,.4f,.4f,.4f,0
306,19,.4f,.4f,.4f,2
126,22,.4f,.4f,.4f,4
72,0,.4f,.4f,.4f,0
4,2,.4f,.4f,.4f,2
2,4,.4f,.4f,.4f,4
12,6,.4f,.4f,.4f,6
281,9,.4f,.4f,.4f,1
220,11,.4f,.4f,.4f,3
260,13,.4f,.4f,.4f,5
554,15,.4f,.4f,.4f,0
750,17,.4f,.4f,.4f,2
586,19,.4f,.4f,.4f,4
104,21,.4f,.4f,.4f,6
48,23,.4f,.4f,.4f,1
33,1,.4f,.4f,.4f,4
31,3,.4f,.4f,.4f,6
110,6,.4f,.4f,.4f,1
684,8,.4f,.4f,.4f,3
238,10,.4f,.4f,.4f,5
457,12,.4f,.4f,.4f,0
224,14,.4f,.4f,.4f,2
656,17,.4f,.4f,.4f,4
459,19,.4f,.4f,.4f,6
271,21,.4f,.4f,.4f,1
70,23,.4f,.4f,.4f,3
88,1,.4f,.4f,.4f,6
1,3,.4f,.4f,.4f,1
24,5,.4f,.4f,.4f,3
315,7,.4f,.4f,.4f,5
185,9,.4f,.4f,.4f,0
229,11,.4f,.4f,.4f,2
265,13,.4f,.4f,.4f,4
541,15,.4f,.4f,.4f,6
769,17,.4f,.4f,.4f,1
98,19,.4f,.4f,.4f,3
270,21,.4f,.4f,.4f,5
74,23,.4f,.4f,.4f,0
21,1,.4f,.4f,.4f,3
14,3,.4f,.4f,.4f,5
8,5,.4f,.4f,.4f,0
324,7,.4f,.4f,.4f,2
301,9,.4f,.4f,.4f,4
520,11,.4f,.4f,.4f,6
556,13,.4f,.4f,.4f,1
275,15,.4f,.4f,.4f,3
227,17,.4f,.4f,.4f,5
453,19,.4f,.4f,.4f,0
283,21,.4f,.4f,.4f,2
177,23,.4f,.4f,.4f,4
116,1,.4f,.4f,.4f,0
12,3,.4f,.4f,.4f,2
40,5,.4f,.4f,.4f,4
78,7,.4f,.4f,.4f,6
250,9,.4f,.4f,.4f,1
188,11,.4f,.4f,.4f,3
300,13,.4f,.4f,.4f,5
487,15,.4f,.4f,.4f,0
900,17,.4f,.4f,.4f,2
571,19,.4f,.4f,.4f,4
213,21,.4f,.4f,.4f,6
102,23,.4f,.4f,.4f,1
30,1,.4f,.4f,.4f,4
31,3,.4f,.4f,.4f,6
28,5,.4f,.4f,.4f,1
497,7,.4f,.4f,.4f,3
414,9,.4f,.4f,.4f,5
451,11,.4f,.4f,.4f,0
221,13,.4f,.4f,.4f,2
292,15,.4f,.4f,.4f,4
241,17,.4f,.4f,.4f,6
582,19,.4f,.4f,.4f,1
397,21,.4f,.4f,.4f,3
189,23,.4f,.4f,.4f,5
19,1,.4f,.4f,.4f,1
7,3,.4f,.4f,.4f,3
37,5,.4f,.4f,.4f,5
68,7,.4f,.4f,.4f,0
327,9,.4f,.4f,.4f,2
260,11,.4f,.4f,.4f,4
569,13,.4f,.4f,.4f,6
274,15,.4f,.4f,.4f,1
851,17,.4f,.4f,.4f,3
491,19,.4f,.4f,.4f,5
190,21,.4f,.4f,.4f,0
136,23,.4f,.4f,.4f,2
42,1,.4f,.4f,.4f,5
53,3,.4f,.4f,.4f,0
42,5,.4f,.4f,.4f,2
532,7,.4f,.4f,.4f,4
237,9,.4f,.4f,.4f,6
459,11,.4f,.4f,.4f,1
234,13,.4f,.4f,.4f,3
331,15,.4f,.4f,.4f,5
671,17,.4f,.4f,.4f,0
596,19,.4f,.4f,.4f,2
317,21,.4f,.4f,.4f,4
229,23,.4f,.4f,.4f,6
5,1,.4f,.4f,.4f,2
6,3,.4f,.4f,.4f,4
17,5,.4f,.4f,.4f,6
530,7,.4f,.4f,.4f,1
334,9,.4f,.4f,.4f,3
361,11,.4f,.4f,.4f,5
594,13,.4f,.4f,.4f,0
209,15,.4f,.4f,.4f,2
901,17,.4f,.4f,.4f,4
341,19,.4f,.4f,.4f,6
151,21,.4f,.4f,.4f,1
136,23,.4f,.4f,.4f,3
146,1,.4f,.4f,.4f,6
4,3,.4f,.4f,.4f,1
41,5,.4f,.4f,.4f,3
154,7,.4f,.4f,.4f,5
269,9,.4f,.4f,.4f,0
253,11,.4f,.4f,.4f,2
313,13,.4f,.4f,.4f,4
711,15,.4f,.4f,.4f,6
24,5,.4f,.4f,.4f,3
357,7,.4f,.4f,.4f,5
217,9,.4f,.4f,.4f,0
216,11,.4f,.4f,.4f,2
182,14,.4f,.4f,.4f,4
605,16,.4f,.4f,.4f,6
551,18,.4f,.4f,.4f,1
267,20,.4f,.4f,.4f,3
162,22,.4f,.4f,.4f,5
27,0,.4f,.4f,.4f,1
8,2,.4f,.4f,.4f,3
4,4,.4f,.4f,.4f,5
11,6,.4f,.4f,.4f,0
500,8,.4f,.4f,.4f,2
163,11,.4f,.4f,.4f,4
509,13,.4f,.4f,.4f,6
268,15,.4f,.4f,.4f,1
605,17,.4f,.4f,.4f,3
352,19,.4f,.4f,.4f,5
96,21,.4f,.4f,.4f,0
64,23,.4f,.4f,.4f,2
26,1,.4f,.4f,.4f,5
38,3,.4f,.4f,.4f,0
36,5,.4f,.4f,.4f,2
350,7,.4f,.4f,.4f,4
90,9,.4f,.4f,.4f,6
135,12,.4f,.4f,.4f,1
13,15,.4f,.4f,.4f,3
271,17,.4f,.4f,.4f,5
102,19,.4f,.4f,.4f,0
