Pig,Evit,Cu,Litter,Start,Weight,Feed,Time
4641,Evit100,Cu175,2,27.09999,56.5,53.300003,5
4641,Evit100,Cu175,2,27.09999,63.0,69.8,6
4641,Evit100,Cu175,2,27.09999,72.5,85.100002,7
4641,Evit100,Cu175,2,27.09999,80.5,101.100006,8
4641,Evit100,Cu175,2,27.09999,92.0,121.400002,9
4641,Evit100,Cu175,2,27.09999,100.0,142.200001,10
4641,Evit100,Cu175,2,27.09999,108.39996,157.0,11
4641,Evit100,Cu175,2,27.09999,117.0,180.0,12
4643,Evit000,Cu000,2,27.0,27.0,,1
4643,Evit000,Cu000,2,27.0,31.79999,6.400002,2
4643,Evit000,Cu000,2,27.0,39.0,21.5,3
4643,Evit000,Cu000,2,27.0,44.79999,33.900002,4
4643,Evit000,Cu000,2,27.0,50.89999,44.900002,5
4643,Evit000,Cu000,2,27.0,57.39999,58.8,6
4643,Evit000,Cu000,2,27.0,62.5,73.700001,7
4643,Evit000,Cu000,2,27.0,71.69995,92.800003,8
4643,Evit000,Cu000,2,27.0,78.19995,111.5,9
4643,Evit000,Cu000,2,27.0,85.79999,132.800003,10
4643,Evit000,Cu000,2,27.0,91.79999,148.400001,11
4643,Evit000,Cu000,2,27.0,100.19995,170.0,12
4645,Evit200,Cu035,2,27.7,27.7,,1
4645,Evit200,Cu035,2,27.7,33.59998,10.0,2
4645,Evit200,Cu035,2,27.7,44.0,28.5,3
4645,Evit200,Cu035,2,27.7,46.69998,40.0,4
4645,Evit200,Cu035,2,27.7,54.79999,55.200001,5
4645,Evit200,Cu035,2,27.7,61.0,69.0,6
4645,Evit200,Cu035,2,27.7,69.79999,88.0,7
4645,Evit200,Cu035,2,27.7,76.0,104.400002,8
4645,Evit200,Cu035,2,27.7,83.59998,121.800003,9
4645,Evit200,Cu035,2,27.7,88.19995,140.0,10
4645,Evit200,Cu035,2,27.7,96.79999,157.200001,11
4645,Evit200,Cu035,2,27.7,102.29999,180.0,12
4756,Evit200,Cu000,3,17.0,17.0,,1
4756,Evit200,Cu000,3,17.0,19.0,9.900002,2
4756,Evit200,Cu000,3,17.0,23.59999,18.5,3
4756,Evit200,Cu000,3,17.0,30.0,28.900002,4
4756,Evit200,Cu000,3,17.0,36.29999,38.100002,5
4756,Evit200,Cu000,3,17.0,42.39999,52.799999,6
4756,Evit200,Cu000,3,17.0,50.5,66.799999,7
4756,Evit200,Cu000,3,17.0,57.59998,86.0,8
4756,Evit200,Cu000,3,17.0,66.59998,106.0,9
4756,Evit200,Cu000,3,17.0,74.19995,123.0,10
4756,Evit200,Cu000,3,17.0,83.0,141.900002,11
4756,Evit200,Cu000,3,17.0,89.29999,163.700001,12
4757,Evit000,Cu000,3,26.89999,26.89999,,1
4757,Evit000,Cu000,3,26.89999,32.29999,9.900002,2
4757,Evit000,Cu000,3,26.89999,38.59998,20.200005,3
4757,Evit000,Cu000,3,26.89999,46.0,30.0,4
4757,Evit000,Cu000,3,26.89999,57.79999,40.0,5
4757,Evit000,Cu000,3,26.89999,58.59998,62.800003,6
4757,Evit000,Cu000,3,26.89999,65.89996,78.300003,7
4757,Evit000,Cu000,3,26.89999,71.19995,97.900002,8
4757,Evit000,Cu000,3,26.89999,79.39996,115.800003,9
4757,Evit000,Cu000,3,26.89999,81.0,129.0,10
4757,Evit000,Cu000,3,26.89999,91.69995,150.0,11
4757,Evit000,Cu000,3,26.89999,91.0,156.800003,12
4759,Evit200,Cu035,3,22.59999,22.59999,,1
4759,Evit200,Cu035,3,22.59999,28.5,10.600006,2
4759,Evit200,Cu035,3,22.59999,32.69998,21.100006,3
4759,Evit200,Cu035,3,22.59999,39.89999,33.300003,4
4759,Evit200,Cu035,3,22.59999,47.59998,47.1,5
4759,Evit200,Cu035,3,22.59999,53.79999,63.400002,6
4759,Evit200,Cu035,3,22.59999,63.0,80.800003,7
4759,Evit200,Cu035,3,22.59999,67.19995,98.100002,8
4759,Evit200,Cu035,3,22.59999,74.09998,111.900002,9
4759,Evit200,Cu035,3,22.59999,80.0,128.900002,10
4759,Evit200,Cu035,3,22.59999,89.39996,152.100002,11
4759,Evit200,Cu035,3,22.59999,93.5,171.700005,12
4760,Evit000,Cu175,3,15.0,15.0,,1
4760,Evit000,Cu175,3,15.0,19.39999,7.900002,2
4760,Evit000,Cu175,3,15.0,21.39999,15.0,3
4760,Evit000,Cu175,3,15.0,25.29999,22.100002,4
4760,Evit000,Cu175,3,15.0,31.89999,29.900002,5
4760,Evit000,Cu175,3,15.0,37.59998,41.800003,6
4760,Evit000,Cu175,3,15.0,43.69998,57.600006,7
4760,Evit000,Cu175,3,15.0,48.89999,69.5,8
4760,Evit000,Cu175,3,15.0,53.69998,83.800003,9
4760,Evit000,Cu175,3,15.0,59.29999,93.200001,10
4760,Evit000,Cu175,3,15.0,64.89996,107.900002,11
4760,Evit000,Cu175,3,15.0,65.79999,117.300003,12
4813,Evit000,Cu035,4,27.29999,27.29999,,1
4813,Evit000,Cu035,4,27.29999,32.39999,10.300003,2
4813,Evit000,Cu035,4,27.29999,38.29999,22.800003,3
4813,Evit000,Cu035,4,27.29999,45.79999,40.200005,4
4813,Evit000,Cu035,4,27.29999,53.79999,53.700005,5
4813,Evit000,Cu035,4,27.29999,60.0,72.700005,6
4813,Evit000,Cu035,4,27.29999,68.69995,92.900005,7
4813,Evit000,Cu035,4,27.29999,75.79999,114.700005,8
4813,Evit000,Cu035,4,27.29999,80.79999,132.800003,9
4813,Evit000,Cu035,4,27.29999,86.79999,138.100006,10
4813,Evit000,Cu035,4,27.29999,91.39996,159.900005,11
4813,Evit000,Cu035,4,27.29999,99.79999,182.100006,12
4814,Evit100,Cu035,4,26.2,26.2,,1
4814,Evit100,Cu035,4,26.2,31.09999,9.900002,2
4814,Evit100,Cu035,4,26.2,34.59998,19.600006,3
4814,Evit100,Cu035,4,26.2,41.19998,30.0,4
4814,Evit100,Cu035,4,26.2,49.19998,37.400002,5
4814,Evit100,Cu035,4,26.2,55.59998,57.200005,6
4814,Evit100,Cu035,4,26.2,62.59998,76.200005,7
4814,Evit100,Cu035,4,26.2,72.09998,93.000004,8
4814,Evit100,Cu035,4,26.2,77.5,109.800003,9
4814,Evit100,Cu035,4,26.2,83.79999,127.400002,10
4814,Evit100,Cu035,4,26.2,93.39996,148.900002,11
4814,Evit100,Cu035,4,26.2,98.39996,174.400002,12
4815,Evit100,Cu175,4,24.89999,24.89999,,1
4815,Evit100,Cu175,4,24.89999,29.7,9.5,2
4815,Evit100,Cu175,4,24.89999,33.79999,19.0,3
4815,Evit100,Cu175,4,24.89999,38.79999,32.0,4
4815,Evit100,Cu175,4,24.89999,48.29999,45.5,5
4815,Evit100,Cu175,4,24.89999,52.89999,59.100006,6
4815,Evit100,Cu175,4,24.89999,65.0,80.100006,7
4815,Evit100,Cu175,4,24.89999,70.39996,104.600002,8
4815,Evit100,Cu175,4,24.89999,76.79999,130.0,9
4815,Evit100,Cu175,4,24.89999,83.29999,149.0,10
4815,Evit100,Cu175,4,24.89999,95.0,175.600006,11
4815,Evit100,Cu175,4,24.89999,102.69995,203.500008,12
4817,Evit000,Cu175,4,24.59999,24.59999,,1
4817,Evit000,Cu175,4,24.59999,28.0,9.0,2
4817,Evit000,Cu175,4,24.59999,34.59998,19.900002,3
4817,Evit000,Cu175,4,24.59999,41.5,33.900002,4
4817,Evit000,Cu175,4,24.59999,49.69998,47.000004,5
4817,Evit000,Cu175,4,24.59999,56.5,65.200001,6
4817,Evit000,Cu175,4,24.59999,66.89996,83.300003,7
4817,Evit000,Cu175,4,24.59999,75.79999,106.400002,8
4817,Evit000,Cu175,4,24.59999,84.59998,125.900002,9
4817,Evit000,Cu175,4,24.59999,91.0,144.000004,10
4817,Evit000,Cu175,4,24.59999,98.79999,168.200001,11
4817,Evit000,Cu175,4,24.59999,107.19995,178.200001,12
4854,Evit100,Cu000,6,29.0,29.0,,1
4854,Evit100,Cu000,6,29.0,32.69998,8.200001,2
4854,Evit100,Cu000,6,29.0,38.29999,19.800003,3
4854,Evit100,Cu000,6,29.0,45.5,30.0,4
4854,Evit100,Cu000,6,29.0,48.59998,40.0,5
4854,Evit100,Cu000,6,29.0,56.0,50.0,6
4854,Evit100,Cu000,6,29.0,62.59998,70.0,7
4854,Evit100,Cu000,6,29.0,70.19995,86.200001,8
4854,Evit100,Cu000,6,29.0,73.79999,100.0,9
4854,Evit100,Cu000,6,29.0,80.29999,120.5,10
4854,Evit100,Cu000,6,29.0,85.5,138.5,11
4854,Evit100,Cu000,6,29.0,93.09998,158.0,12
4856,Evit000,Cu000,6,32.0,32.0,,1
4856,Evit000,Cu000,6,32.0,35.19998,8.1,2
4856,Evit000,Cu000,6,32.0,41.5,19.600006,3
4856,Evit000,Cu000,6,32.0,47.69998,27.6,4
4856,Evit000,Cu000,6,32.0,53.79999,41.800003,5
4856,Evit000,Cu000,6,32.0,61.59998,58.600006,6
4856,Evit000,Cu000,6,32.0,70.0,75.200001,7
4856,Evit000,Cu000,6,32.0,79.09998,91.700005,8
4856,Evit000,Cu000,6,32.0,85.69995,109.0,9
4856,Evit000,Cu000,6,32.0,92.5,131.0,10
4856,Evit000,Cu000,6,32.0,101.09998,153.0,11
4856,Evit000,Cu000,6,32.0,109.0,177.6,12
4857,Evit000,Cu175,6,26.0,26.0,,1
4857,Evit000,Cu175,6,26.0,34.5,8.5,2
4857,Evit000,Cu175,6,26.0,40.39999,19.200005,3
4857,Evit000,Cu175,6,26.0,45.0,29.0,4
4857,Evit000,Cu175,6,26.0,53.5,45.0,5
4857,Evit000,Cu175,6,26.0,60.19998,62.300003,6
4857,Evit000,Cu175,6,26.0,68.59998,89.700005,7
4857,Evit000,Cu175,6,26.0,73.39996,101.800003,8
4857,Evit000,Cu175,6,26.0,78.5,112.700003,9
4857,Evit000,Cu175,6,26.0,86.0,135.300007,10
4857,Evit000,Cu175,6,26.0,90.59998,154.100002,11
4857,Evit000,Cu175,6,26.0,97.19995,168.700005,12
4858,Evit100,Cu035,6,28.0,28.0,,1
4858,Evit100,Cu035,6,28.0,31.2,8.0,2
4858,Evit100,Cu035,6,28.0,38.79999,16.700005,3
4858,Evit100,Cu035,6,28.0,44.69998,31.800003,4
4858,Evit100,Cu035,6,28.0,53.59998,50.500004,5
4858,Evit100,Cu035,6,28.0,59.19998,71.100006,6
4858,Evit100,Cu035,6,28.0,67.09998,87.100006,7
4858,Evit100,Cu035,6,28.0,76.39996,107.300003,8
4858,Evit100,Cu035,6,28.0,83.79999,133.200005,9
4858,Evit100,Cu035,6,28.0,71.59998,163.100006,10
4858,Evit100,Cu035,6,28.0,97.39996,190.800003,11
4858,Evit100,Cu035,6,28.0,107.09998,219.800003,12
5389,Evit200,Cu175,7,24.29999,24.29999,,1
5389,Evit200,Cu175,7,24.29999,28.39999,5.400002,2
5389,Evit200,Cu175,7,24.29999,36.0,20.0,3
5389,Evit200,Cu175,7,24.29999,40.29999,30.300003,4
5389,Evit200,Cu175,7,24.29999,46.19998,41.800003,5
5389,Evit200,Cu175,7,24.29999,51.89999,54.800003,6
5389,Evit200,Cu175,7,24.29999,58.09998,69.000002,7
5389,Evit200,Cu175,7,24.29999,62.59998,83.800005,8
5389,Evit200,Cu175,7,24.29999,68.19995,97.200002,9
5389,Evit200,Cu175,7,24.29999,78.39996,114.200003,10
5389,Evit200,Cu175,7,24.29999,87.5,131.100004,11
5389,Evit200,Cu175,7,24.29999,90.39996,147.000002,12
5392,Evit200,Cu035,7,24.59999,24.59999,,1
5392,Evit200,Cu035,7,24.59999,25.79999,7.700001,2
5392,Evit200,Cu035,7,24.59999,28.59999,19.999996,3
5392,Evit200,Cu035,7,24.59999,30.39999,29.999996,4
5392,Evit200,Cu035,7,24.59999,36.09998,39.999996,5
5392,Evit200,Cu035,7,24.59999,36.09998,47.499996,6
5392,Evit200,Cu035,7,24.59999,49.29999,62.499996,7
5392,Evit200,Cu035,7,24.59999,57.89999,76.799999,8
5392,Evit200,Cu035,7,24.59999,63.0,89.499996,9
5392,Evit200,Cu035,7,24.59999,75.69995,104.999996,10
5392,Evit200,Cu035,7,24.59999,81.39996,123.999996,11
5392,Evit200,Cu035,7,24.59999,88.69995,142.799997,12
5497,Evit000,Cu000,8,21.2,21.2,,1
5497,Evit000,Cu000,8,21.2,25.79999,6.300001,2
5497,Evit000,Cu000,8,21.2,29.39999,16.5,3
5497,Evit000,Cu000,8,21.2,36.79999,27.200001,4
5497,Evit000,Cu000,8,21.2,43.19998,40.200005,5
5497,Evit000,Cu000,8,21.2,51.09998,54.800003,6
5497,Evit000,Cu000,8,21.2,59.29999,68.0,7
5497,Evit000,Cu000,8,21.2,66.0,85.200001,8
5497,Evit000,Cu000,8,21.2,72.79999,101.100006,9
5497,Evit000,Cu000,8,21.2,78.59998,119.5,10
5497,Evit000,Cu000,8,21.2,93.79999,144.200001,11
5497,Evit000,Cu000,8,21.2,95.19995,158.5,12
5500,Evit000,Cu035,8,17.0,17.0,,1
5500,Evit000,Cu035,8,17.0,19.0,5.200001,2
5500,Evit000,Cu035,8,17.0,23.0,18.5,3
5500,Evit000,Cu035,8,17.0,29.39999,32.800003,4
5500,Evit000,Cu035,8,17.0,34.59998,43.800003,5
5500,Evit000,Cu035,8,17.0,40.59998,55.800003,6
5500,Evit000,Cu035,8,17.0,46.59998,71.400002,7
5500,Evit000,Cu035,8,17.0,54.0,87.0,8
5500,Evit000,Cu035,8,17.0,62.5,103.800003,9
5500,Evit000,Cu035,8,17.0,70.0,124.800003,10
5500,Evit000,Cu035,8,17.0,78.29999,147.300001,11
5500,Evit000,Cu035,8,17.0,83.19995,160.800003,12
5501,Evit100,Cu175,8,30.0,30.0,,1
5501,Evit100,Cu175,8,30.0,34.69998,10.0,2
5501,Evit100,Cu175,8,30.0,42.79999,22.5,3
5501,Evit100,Cu175,8,30.0,48.39999,35.200001,4
5501,Evit100,Cu175,8,30.0,53.29999,45.800003,5
5501,Evit100,Cu175,8,30.0,60.0,60.0,6
5501,Evit100,Cu175,8,30.0,71.09998,75.200001,7
5501,Evit100,Cu175,8,30.0,77.39996,92.800003,8
5501,Evit100,Cu175,8,30.0,86.0,110.0,9
5501,Evit100,Cu175,8,30.0,94.5,128.0,10
5501,Evit100,Cu175,8,30.0,102.0,149.5,11
5501,Evit100,Cu175,8,30.0,104.59998,160.0,12
5502,Evit200,Cu000,8,29.59999,29.59999,,1
5502,Evit200,Cu000,8,29.59999,34.19998,9.0,2
5502,Evit200,Cu000,8,29.59999,43.0,21.400002,3
5502,Evit200,Cu000,8,29.59999,50.0,36.5,4
5502,Evit200,Cu000,8,29.59999,57.0,51.0,5
5502,Evit200,Cu000,8,29.59999,63.5,66.800001,6
5502,Evit200,Cu000,8,29.59999,72.69995,80.100006,7
5502,Evit200,Cu000,8,29.59999,78.69995,96.200001,8
5502,Evit200,Cu000,8,29.59999,84.89996,109.800003,9
5502,Evit200,Cu000,8,29.59999,91.0,126.800001,10
5502,Evit200,Cu000,8,29.59999,96.39996,145.200001,11
5502,Evit200,Cu000,8,29.59999,100.19995,157.999996,12
5524,Evit100,Cu000,9,22.39999,22.39999,,1
5524,Evit100,Cu000,9,22.39999,25.2,10.0,2
5524,Evit100,Cu000,9,22.39999,30.0,26.699997,3
5524,Evit100,Cu000,9,22.39999,36.5,39.799999,4
5524,Evit100,Cu000,9,22.39999,43.29999,55.199997,5
5524,Evit100,Cu000,9,22.39999,50.0,74.499996,6
5524,Evit100,Cu000,9,22.39999,58.09998,85.999996,7
5524,Evit100,Cu000,9,22.39999,63.0,101.999996,8
5524,Evit100,Cu000,9,22.39999,70.69995,121.999996,9
5524,Evit100,Cu000,9,22.39999,78.09998,136.099997,10
5524,Evit100,Cu000,9,22.39999,83.5,136.099997,11
5527,Evit100,Cu175,9,26.59999,26.59999,,1
5527,Evit100,Cu175,9,26.59999,28.2,10.0,2
5527,Evit100,Cu175,9,26.59999,38.39999,30.0,3
5527,Evit100,Cu175,9,26.59999,45.79999,50.0,4
5527,Evit100,Cu175,9,26.59999,54.89999,60.0,5
5527,Evit100,Cu175,9,26.59999,60.09998,78.5,6
5527,Evit100,Cu175,9,26.59999,56.89999,86.200001,7
5527,Evit100,Cu175,9,26.59999,64.89996,102.900002,8
5527,Evit100,Cu175,9,26.59999,74.0,121.799988,9
5527,Evit100,Cu175,9,26.59999,81.89996,136.999992,10
5527,Evit100,Cu175,9,26.59999,90.89996,136.999992,11
5528,Evit200,Cu000,9,24.0,24.0,,1
5528,Evit200,Cu000,9,24.0,28.2,10.0,2
5528,Evit200,Cu000,9,24.0,35.29999,20.0,3
5528,Evit200,Cu000,9,24.0,42.69998,32.100002,4
5528,Evit200,Cu000,9,24.0,48.19998,44.800003,5
5528,Evit200,Cu000,9,24.0,53.19998,58.5,6
5528,Evit200,Cu000,9,24.0,64.79999,76.1,7
5528,Evit200,Cu000,9,24.0,71.5,94.200001,8
5528,Evit200,Cu000,9,24.0,76.09998,113.200001,9
5528,Evit200,Cu000,9,24.0,86.09998,134.900002,10
5528,Evit200,Cu000,9,24.0,92.5,146.1,11
5578,Evit100,Cu175,10,27.09999,27.09999,,1
5578,Evit100,Cu175,10,27.09999,34.69998,11.100002,2
5578,Evit100,Cu175,10,27.09999,40.69998,29.900002,3
5578,Evit100,Cu175,10,27.09999,47.59998,45.300001,4
5578,Evit100,Cu175,10,27.09999,56.5,65.6,5
5578,Evit100,Cu175,10,27.09999,64.0,84.800001,6
5578,Evit100,Cu175,10,27.09999,72.29999,107.0,7
5578,Evit100,Cu175,10,27.09999,82.0,135.1,8
5578,Evit100,Cu175,10,27.09999,88.0,155.5,9
5578,Evit100,Cu175,10,27.09999,95.09998,177.900002,10
5578,Evit100,Cu175,10,27.09999,104.0,201.5,11
5578,Evit100,Cu175,10,27.09999,105.69995,224.5,12
5581,Evit200,Cu000,10,27.0,27.0,,1
5581,Evit200,Cu000,10,27.0,30.0,6.800001,2
5581,Evit200,Cu000,10,27.0,37.79999,19.5,3
5581,Evit200,Cu000,10,27.0,43.29999,31.100006,4
5581,Evit200,Cu000,10,27.0,51.5,46.200001,5
5581,Evit200,Cu000,10,27.0,57.0,59.900002,6
5581,Evit200,Cu000,10,27.0,63.69998,76.1,7
5581,Evit200,Cu000,10,27.0,70.5,97.0,8
5581,Evit200,Cu000,10,27.0,80.39996,115.0,9
5581,Evit200,Cu000,10,27.0,92.0,138.800003,10
5581,Evit200,Cu000,10,27.0,100.0,158.200001,11
5581,Evit200,Cu000,10,27.0,106.09998,177.900002,12
5582,Evit200,Cu175,10,29.5,29.5,,1
5582,Evit200,Cu175,10,29.5,31.39999,6.800001,2
5582,Evit200,Cu175,10,29.5,39.39999,19.6,3
5582,Evit200,Cu175,10,29.5,44.79999,30.300003,4
5582,Evit200,Cu175,10,29.5,50.29999,41.400002,5
5582,Evit200,Cu175,10,29.5,57.0,55.0,6
5582,Evit200,Cu175,10,29.5,65.59998,71.0,7
5582,Evit200,Cu175,10,29.5,72.39996,86.800001,8
5582,Evit200,Cu175,10,29.5,80.19995,105.200001,9
5582,Evit200,Cu175,10,29.5,90.39996,127.800001,10
5582,Evit200,Cu175,10,29.5,95.0,149.5,11
5582,Evit200,Cu175,10,29.5,99.09998,167.5,12
5850,Evit200,Cu000,12,22.79999,22.79999,,1
5850,Evit200,Cu000,12,22.79999,27.0,6.0,2
5850,Evit200,Cu000,12,22.79999,33.89999,18.200001,3
5850,Evit200,Cu000,12,22.79999,37.69998,27.0,4
5850,Evit200,Cu000,12,22.79999,41.39999,36.300001,5
5850,Evit200,Cu000,12,22.79999,48.19998,48.0,6
5850,Evit200,Cu000,12,22.79999,53.69998,60.200005,7
5850,Evit200,Cu000,12,22.79999,62.59998,76.200001,8
5850,Evit200,Cu000,12,22.79999,70.39996,93.0,9
5850,Evit200,Cu000,12,22.79999,78.5,120.0,10
5850,Evit200,Cu000,12,22.79999,85.89996,127.5,11
5850,Evit200,Cu000,12,22.79999,94.0,146.800001,12
5851,Evit200,Cu175,12,22.29999,22.29999,,1
5851,Evit200,Cu175,12,22.29999,24.7,5.900002,2
5851,Evit200,Cu175,12,22.29999,30.39999,15.0,3
5851,Evit200,Cu175,12,22.29999,36.89999,25.200001,4
5851,Evit200,Cu175,12,22.29999,44.09998,39.0,5
5851,Evit200,Cu175,12,22.29999,52.79999,56.0,6
5851,Evit200,Cu175,12,22.29999,60.29999,71.100006,7
5851,Evit200,Cu175,12,22.29999,67.79999,86.5,8
5851,Evit200,Cu175,12,22.29999,75.39996,106.300001,9
5851,Evit200,Cu175,12,22.29999,87.59998,127.599991,10
5851,Evit200,Cu175,12,22.29999,93.0,137.599991,11
5851,Evit200,Cu175,12,22.29999,101.39996,157.599991,12
5852,Evit000,Cu000,12,23.79999,23.79999,,1
5852,Evit000,Cu000,12,23.79999,30.0,9.7,2
5852,Evit000,Cu000,12,23.79999,37.09998,20.800003,3
5852,Evit000,Cu000,12,23.79999,43.19998,31.200005,4
5852,Evit000,Cu000,12,23.79999,50.39999,44.900002,5
5852,Evit000,Cu000,12,23.79999,60.19998,61.800003,6
5852,Evit000,Cu000,12,23.79999,67.0,78.200001,7
5852,Evit000,Cu000,12,23.79999,75.0,94.800003,8
5852,Evit000,Cu000,12,23.79999,82.39996,112.900002,9
5852,Evit000,Cu000,12,23.79999,91.19995,132.0,10
5852,Evit000,Cu000,12,23.79999,101.79999,160.0,11
5852,Evit000,Cu000,12,23.79999,109.59998,180.100006,12
5862,Evit000,Cu035,11,22.0,22.0,,1
5862,Evit000,Cu035,11,22.0,25.79999,8.5,2
5862,Evit000,Cu035,11,22.0,29.2,15.800003,3
5862,Evit000,Cu035,11,22.0,35.79999,25.900002,4
5862,Evit000,Cu035,11,22.0,41.09998,37.6,5
5862,Evit000,Cu035,11,22.0,50.0,48.200005,6
5862,Evit000,Cu035,11,22.0,55.19998,62.0,7
5862,Evit000,Cu035,11,22.0,62.19998,76.5,8
5862,Evit000,Cu035,11,22.0,69.79999,90.100002,9
5862,Evit000,Cu035,11,22.0,76.39996,107.100006,10
5862,Evit000,Cu035,11,22.0,83.19995,126.2,11
5862,Evit000,Cu035,11,22.0,93.19995,147.700005,12
5865,Evit200,Cu035,11,22.0,22.0,,1
5865,Evit200,Cu035,11,22.0,27.0,8.8,2
5865,Evit200,Cu035,11,22.0,32.89999,18.900001,3
5865,Evit200,Cu035,11,22.0,38.0,29.200005,4
5865,Evit200,Cu035,11,22.0,46.19998,43.600002,5
5865,Evit200,Cu035,11,22.0,53.5,58.1,6
5865,Evit200,Cu035,11,22.0,58.59998,73.400002,7
5865,Evit200,Cu035,11,22.0,68.19995,90.0,8
5865,Evit200,Cu035,11,22.0,71.0,104.800003,9
5865,Evit200,Cu035,11,22.0,80.79999,120.200005,10
5865,Evit200,Cu035,11,22.0,84.5,134.800003,11
5865,Evit200,Cu035,11,22.0,90.0,146.300001,12
5866,Evit100,Cu175,11,22.0,22.0,,1
5866,Evit100,Cu175,11,22.0,24.79999,7.5,2
5866,Evit100,Cu175,11,22.0,30.0,16.1,3
5866,Evit100,Cu175,11,22.0,35.79999,26.0,4
5866,Evit100,Cu175,11,22.0,42.29999,36.800001,5
5866,Evit100,Cu175,11,22.0,50.89999,49.800003,6
5866,Evit100,Cu175,11,22.0,57.79999,65.100002,7
5866,Evit100,Cu175,11,22.0,64.79999,80.0,8
5866,Evit100,Cu175,11,22.0,71.79999,93.800003,9
5866,Evit100,Cu175,11,22.0,75.0,109.900002,10
5866,Evit100,Cu175,11,22.0,83.79999,122.800003,11
5866,Evit100,Cu175,11,22.0,92.09998,142.400002,12
6055,Evit200,Cu035,16,26.2,26.2,,1
6055,Evit200,Cu035,16,26.2,30.39999,6.900002,2
6055,Evit200,Cu035,16,26.2,37.39999,18.200001,3
6055,Evit200,Cu035,16,26.2,43.0,30.600006,4
6055,Evit200,Cu035,16,26.2,49.5,42.100002,5
6055,Evit200,Cu035,16,26.2,55.09998,62.200001,6
6055,Evit200,Cu035,16,26.2,64.19995,87.200001,7
6055,Evit200,Cu035,16,26.2,75.59998,106.900002,8
6055,Evit200,Cu035,16,26.2,83.29999,122.100002,9
6055,Evit200,Cu035,16,26.2,87.39996,148.4,10
6055,Evit200,Cu035,16,26.2,94.69995,170.100006,11
6055,Evit200,Cu035,16,26.2,98.39996,190.800003,12
6056,Evit200,Cu175,16,32.5,32.5,,1
6056,Evit200,Cu175,16,32.5,38.79999,10.0,2
6056,Evit200,Cu175,16,32.5,47.79999,23.800003,3
6056,Evit200,Cu175,16,32.5,54.5,39.0,4
