rented,hour,temperature,humidity,windspeed,weekday
92,10,21.14,0.83,0.2836,3
223,12,18.32,0.37,0.2836,5
238,14,15.5,0.68,0.1045,0
271,16,25.84,0.54,0.4627,2
520,18,18.32,0.26,0.2836,4
219,20,18.32,0.43,0.1343,6
116,22,16.44,0.68,0.0896,1
44,0,13.62,0.88,0.2239,4
52,2,15.5,0.88,0.1343,6
6,4,15.5,1,0.1343,1
101,6,16.44,1,0.1343,3
517,8,17.38,0.68,0,5
305,10,22.08,0.65,0.1343,0
170,12,27.72,0.45,0.3881,2
189,14,30.54,0.52,0.2836,4
402,16,27.72,0.55,0.2836,6
249,18,32.42,0.41,0.1642,1
256,20,26.78,0.79,0.2537,3
171,22,21.14,0.35,0,5
29,0,21.14,0.78,0.1343,1
7,2,22.08,0.89,0.0896,3
4,4,23.02,0.78,0.1642,5
14,6,21.14,0.88,0.1045,0
486,8,19.26,0.49,0.3881,2
121,10,23.02,0.61,0.2537,4
420,12,26.78,0.66,0.0896,6
175,14,23.02,0.61,0.1045,1
258,16,30.54,0.59,0.3284,3
452,18,27.72,0.37,0.2985,5
213,20,24.9,0.48,0.1045,0
134,22,24.9,0.7,0.2985,2
68,0,23.02,0.5,0,5
69,2,24.9,0.58,0.194,0
5,4,23.02,0.69,0.1642,2
118,6,22.08,0.89,0.1343,4
182,8,24.9,0.7,0.2537,6
117,10,29.6,0.55,0.3582,1
174,12,31.48,0.41,0.2836,3
265,14,24.9,0.51,0.194,5
317,16,29.6,0.46,0.2985,0
530,18,29.6,0.66,0.1343,2
237,20,31.48,0.71,0.2239,4
125,22,29.6,0.59,0.194,6
28,0,24.9,0.79,0.1045,2
7,2,25.84,0.54,0.1045,4
10,4,25.84,0.66,0.1642,6
100,6,23.02,0.83,0.0896,1
437,8,26.78,0.51,0.1642,3
163,10,26.78,0.55,0.1343,5
370,12,34.3,0.42,0.2985,0
148,14,32.42,0.44,0.2836,2
298,16,29.6,0.27,0.194,4
292,18,24.9,0.74,0.2239,6
285,20,23.02,0.74,0.1343,1
171,22,24.9,0.65,0.194,3
128,0,20.2,0.88,0,6
8,2,24.9,0.65,0.1045,1
7,4,18.32,0.73,0.1045,3
105,6,21.14,0.88,0,5
186,21,23.02,0.61,0.1343,0
93,23,21.14,0.61,0,2
32,1,21.14,0.73,0.1045,5
43,3,22.08,0.89,0.194,0
72,6,17.38,0.88,0.3284,2
69,9,21.14,1,0.2537,4
360,11,25.84,0.62,0.2537,6
189,14,26.78,0.51,0.1642,1
277,16,27.72,0.52,0.2836,3
482,18,16.44,0.52,0.1642,5
180,20,17.38,0.68,0.0896,0
148,22,18.32,0.94,0,2
52,0,21.14,0.94,0.0896,5
106,2,20.2,0.94,0,0
8,4,21.14,0.94,0.0896,2
111,6,20.2,0.88,0.0896,4
67,8,10.8,0.76,0.3284,6
101,10,10.8,0.66,0.1045,1
214,12,21.14,0.43,0.3284,3
256,14,21.14,0.5,0,5
470,16,23.02,0.5,0.1343,0
539,18,20.2,0.78,0.2239,2
181,20,21.14,0.83,0.2836,4
166,22,15.5,0.36,0.1343,6
31,0,14.56,0.82,0,2
1,3,15.5,0.82,0.4627,4
8,5,9.86,0.66,0,6
285,7,9.86,0.94,0.1045,1
240,9,14.56,0.63,0.2239,3
168,11,8.92,0.5,0.2239,5
345,13,10.8,0.43,0.2239,0
186,15,15.5,0.45,0.1343,2
498,17,14.56,0.55,0.0896,4
204,19,7.98,0.53,0,6
139,21,9.86,0.82,0.1045,1
66,23,9.86,0.87,0,3
54,1,3.28,0.6,0.1343,6
7,3,12.68,0.67,0.2836,1
13,5,13.62,0.94,0.1045,3
216,7,2.34,0.44,0.1642,5
138,9,12.68,0.72,0.1642,0
32,11,10.8,0.94,0.1343,2
175,13,14.56,0.33,0.2239,4
314,15,15.5,0.42,0.1045,6
416,18,18.32,0.64,0.2239,1
190,20,7.04,0.57,0.2836,3
102,22,7.04,0.53,0.194,5
24,0,7.04,0.87,0.0896,1
6,2,13.62,1,0.2239,3
2,4,2.34,0.8,0,5
10,6,-0.48,0.59,0,0
400,8,1.4,0.69,0.1045,2
109,10,10.8,0.58,0.2985,4
244,12,5.16,0.45,0.2836,6
137,14,8.92,0.46,0.2239,1
101,16,12.68,1,0.3284,3
95,18,8.92,0.5,0.2537,5
19,21,6.1,0.56,0.1343,0
10,0,7.04,0.87,0.1642,3
6,3,3.28,0.7,0.1045,5
5,5,5.16,0.81,0.1045,0
354,8,-0.48,0.55,0.2836,2
86,10,3.28,0.52,0.0896,4
376,12,10.8,0.43,0.2239,6
50,14,2.34,0.75,0.1642,1
134,17,7.98,0.87,0.2239,3
206,19,4.22,0.38,0.2836,5
72,21,-0.48,0.4,0.1642,0
17,0,13.62,0.77,0.3284,3
11,2,4.22,0.48,0.1343,5
2,4,-0.48,0.8,0.2836,0
89,6,7.04,0.93,0.194,2
530,8,5.16,0.81,0.0896,4
191,10,4.22,0.7,0.1343,6
134,12,4.22,0.35,0.3881,1
192,14,21.14,0.33,0.2239,3
311,16,10.8,0.37,0.1045,5
181,18,6.1,0.52,0.2537,0
190,21,7.98,0.61,0.1045,2
84,23,6.1,0.52,0,4
24,1,-4.24,0.79,0.4627,0
3,3,4.22,0.52,0,2
20,5,6.1,0.7,0,4
41,7,3.28,0.7,0,6
143,10,2.34,0.55,0.4478,1
190,13,11.74,0.54,0.2985,3
94,15,10.8,0.87,0.194,5
287,17,8.92,0.32,0.2239,0
306,19,11.74,0.26,0,2
126,22,9.86,0.5,0.2537,4
72,0,10.8,0.3,0.3582,0
4,2,1.4,0.44,0.2239,2
2,4,12.68,0.72,0.2836,4
12,6,2.34,0.44,0.2836,6
281,9,9.86,0.54,0.1642,1
220,11,21.14,0.41,0.1642,3
260,13,13.62,0.77,0.0896,5
554,15,17.38,0.68,0.0896,0
750,17,20.2,0.73,0.194,2
586,19,23.02,0.61,0,4
104,21,12.68,1,0.194,6
48,23,7.98,0.25,0.5224,1
33,1,18.32,0.6,0.1343,4
31,3,10.8,0.82,0.2537,6
110,6,8.92,0.71,0.4627,1
684,8,12.68,0.72,0.1045,3
238,10,8.92,0.4,0.3284,5
457,12,17.38,0.24,0.2537,0
224,14,17.38,0.24,0.194,2
656,17,15.5,0.27,0.3881,4
459,19,20.2,0.4,0.1642,6
271,21,23.96,0.51,0.2537,1
70,23,11.74,0.77,0,3
88,1,16.44,0.77,0.2239,6
1,3,7.04,0.81,0.2836,1
24,5,7.98,0.66,0,3
315,7,9.86,0.5,0.2836,5
185,9,10.8,0.71,0.1343,0
229,11,23.02,0.65,0.2836,2
265,13,20.2,0.69,0.194,4
541,15,23.02,0.74,0.194,6
769,17,20.2,0.53,0.3284,1
98,19,15.5,0.77,0.3582,3
270,21,20.2,0.28,0.1045,5
74,23,21.14,0.57,0.2239,0
21,1,19.26,0.88,0.1343,3
14,3,13.62,0.72,0.0896,5
8,5,15.5,0.72,0.1045,0
324,7,18.32,0.88,0.1045,2
301,9,21.14,0.73,0.1642,4
520,11,24.9,0.74,0.194,6
556,13,29.6,0.63,0.2836,1
275,15,25.84,0.51,0.1343,3
227,17,24.9,0.7,0.2537,5
453,19,23.96,0.34,0.2836,0
283,21,17.38,0.56,0.1642,2
177,23,18.32,0.52,0.1343,4
116,1,22.08,0.73,0.1343,0
12,3,23.02,0.69,0.2537,2
40,5,20.2,0.56,0.2537,4
78,7,17.38,0.68,0.194,6
250,9,17.38,0.83,0.2239,1
188,11,31.48,0.49,0.194,3
300,13,33.36,0.39,0.2239,5
487,15,32.42,0.28,0.2239,0
900,17,25.84,0.28,0.4179,2
571,19,31.48,0.3,0.2985,4
213,21,30.54,0.52,0.1642,6
102,23,26.78,0.51,0.1045,1
30,1,26.78,0.51,0.2836,4
31,3,26.78,0.74,0.1343,6
28,5,23.02,0.83,0.2239,1
497,7,23.02,0.83,0.1045,3
414,9,25.84,0.51,0,5
451,11,30.54,0.52,0.1642,0
221,13,35.24,0.31,0.194,2
292,15,31.48,0.47,0.0896,4
241,17,20.2,0.88,0.1642,6
582,19,29.6,0.52,0.2537,1
397,21,25.84,0.45,0.1343,3
189,23,27.72,0.66,0,5
19,1,24.9,0.74,0,1
7,3,22.08,0.83,0.1045,3
37,5,23.02,0.83,0.1642,5
68,7,26.78,0.74,0.2985,0
327,9,24.9,0.74,0.1343,2
260,11,31.48,0.44,0,4
569,13,29.6,0.49,0.3582,6
274,15,30.54,0.34,0.2239,1
851,17,26.78,0.55,0.2836,3
491,19,26.78,0.55,0.3881,5
190,21,21.14,0.78,0.0896,0
136,23,21.14,0.83,0,2
42,1,22.08,0.73,0,5
53,3,22.08,0.89,0.2537,0
42,5,23.02,0.83,0.0896,2
532,7,22.08,0.73,0,4
237,9,27.72,0.58,0.194,6
459,11,26.78,0.7,0.2836,1
234,13,29.6,0.63,0.1642,3
331,15,29.6,0.55,0.2537,5
671,17,24.9,0.37,0.2537,0
596,19,21.14,0.41,0.194,2
317,21,21.14,0.65,0.1045,4
229,23,17.38,0.6,0,6
5,1,20.2,0.94,0.194,2
6,3,12.68,0.77,0,4
17,5,18.32,0.83,0.3284,6
530,7,13.62,0.67,0.1343,1
334,9,20.2,0.64,0.194,3
361,11,23.02,0.69,0,5
594,13,21.14,0.41,0.2537,0
209,15,21.14,0.83,0.1343,2
901,17,24.9,0.51,0.2239,4
341,19,14.56,0.55,0.2239,6
151,21,10.8,0.76,0.2239,1
136,23,12.68,0.58,0.194,3
146,1,7.98,0.53,0.1343,6
4,3,18.32,0.73,0.2537,1
41,5,8.92,0.81,0,3
154,7,17.38,0.94,0,5
269,9,13.62,0.55,0.1642,0
253,11,20.2,0.53,0,2
313,13,18.32,0.78,0,4
711,15,18.32,0.6,0.2836,6
24,5,6.1,0.81,0.1343,3
357,7,6.1,0.7,0.1343,5
217,9,7.04,0.53,0,0
216,11,7.04,0.45,0.1343,2
182,14,12.68,0.18,0.4179,4
605,16,17.38,0.37,0,6
551,18,16.44,0.72,0.1343,1
267,20,6.1,0.52,0.0896,3
162,22,7.04,0.53,0.2537,5
27,0,8.92,0.66,0.2239,1
8,2,5.16,0.87,0.1045,3
4,4,3.28,0.75,0.1045,5
11,6,2.34,0.47,0.1045,0
500,8,7.04,0.81,0.1642,2
163,11,8.92,0.37,0.2239,4
509,13,7.98,0.76,0,6
268,15,20.2,0.56,0,1
605,17,12.68,0.35,0.2836,3
352,19,9.86,0.76,0,5
96,21,8.92,1,0.1045,0
64,23,6.1,0.52,0.2239,2
26,1,2.34,0.69,0.0896,5
38,3,7.98,0.87,0.194,0
36,5,9.86,0.87,0.0896,2
350,7,6.1,0.7,0,4
90,9,4.22,0.48,0.3881,6
135,12,5.16,0.56,0.0896,1
13,15,4.22,0.87,0.3582,3
271,17,3.28,0.6,0.1343,5
102,19,7.98,0.61,0,0
