name,position,goals,shots
Arne Maier,MF,0,44
Arthur,MF,4,17
Arthur Masuaku,DF,0,18
Artur Ionita,MF,3,79
Arturo Calabresi,DF,2,7
Arturo Vidal,MF,18,118
Ashley Barnes,FW,30,204
Ashley Westwood,MF,7,62
Ashley Williams,DF,1,13
Ashley Young,DF,9,60
Asier Illarramendi,MF,8,49
Asier Villalibre,FW,7,55
Asmir Begovic,GK,0,0
Assane Diousse,MF,1,10
Atakan Karazor,DF,0,3
Augusto Solari,MF,2,5
Aurelien Tchouameni,MF,2,54
Aurélien Chedjou,DF,0,8
Axel Disasi,DF,4,33
Aymen Barkok,MF,2,19
Aymeric Laporte,DF,4,44
Ayoze Pérez,MF,30,193
Aïmen Moueffek,DF,0,1
Bafode Diakite,DF,2,10
Baissama Sankoh,MF,0,7
Bakary Koné,DF,2,10
Bakary Sako,FW,3,17
Bakaye Dibassy,DF,4,27
Balenziaga,DF,0,6
Baptiste Guillaume,FW,1,7
Baptiste Guillaume,FW,2,17
Baptiste Reynet,GK,0,2
Baptiste Santamaria,MF,3,107
Bartlomiej Dragowski,GK,0,0
Bartosz Bereszynski,DF,1,33
Bartosz Bialek,FW,2,8
Bartosz Salamon,DF,0,22
Bas Dost,FW,8,32
Bassem Srarfi,FW,4,35
Bastian Oczipka,DF,1,44
Bastos,DF,6,27
Ben Chilwell,DF,6,71
Ben Davies,DF,2,42
Ben Foster,GK,0,2
Ben Godfrey,DF,0,29
Ben Mee,DF,3,84
Ben Osborn,MF,1,10
Ben White,DF,0,10
Ben Zolinski,FW,3,19
Benik Afobe,FW,0,7
Benito Raman,FW,16,115
Benjamin André,MF,8,94
Benjamin Bourigeaud,MF,24,219
Benjamin Corgnet,MF,1,46
Benjamin Henrichs,DF,1,28
Benjamin Hübner,DF,4,49
Benjamin Jeannot,FW,6,72
Benjamin Lecomte,GK,0,0
Benjamin Mendy,DF,0,10
Benjamin Nivet,MF,2,17
Benjamin Pavard,DF,6,57
Benjamin Stambouli,DF,0,5
Benno Schmitz,DF,0,2
Benoit Costil,GK,0,0
Beram Kayal,MF,1,9
Berat Gjimshiti,DF,3,61
Berkay Özcan,MF,1,12
Bernardo,DF,1,20
Bernardo Silva,MF,21,167
Bernd Leno,GK,0,0
Bersant Celina,MF,0,24
Bertrand Traoré,FW,28,245
Beñat,MF,1,28
Billy Sharp,FW,6,25
Bingourou Kamara,GK,0,0
Birger Meling,DF,2,13
Björn Engels,DF,2,17
Blaise Matuidi,MF,6,57
Blerim Dzemaili,MF,2,57
Bobby Reid,MF,10,61
Bobby Wood,FW,5,57
Bongani Zungu,MF,2,14
Borja Iglesias,FW,31,163
Borja Mayoral,FW,21,111
Borja Sainz,MF,1,10
Borja Valero,MF,4,46
Borja Valle,FW,3,15
Borna Sosa,DF,0,14
Boschilia,FW,4,40
Boubacar Kamara,MF,2,45
Boubakary Soumare,MF,1,12
Boulaye Dia,FW,24,121
Bouna Sarr,DF,2,65
Brais Méndez,MF,16,167
Bram Nuytinck,DF,3,27
Brandon Williams,DF,1,6
Breel Embolo,FW,21,131
Bremer,DF,8,40
Brendan Chardonnet,DF,3,21
Brice Samba,GK,0,0
Bruma,DF,4,41
Bruno,DF,1,16
Bruno Ecuele Manga,DF,2,58
Bruno Fernandes,MF,18,121
Bruno Guimarães,MF,3,27
Bruno Martella,DF,1,34
Bruno Martins Indi,DF,0,4
Bruno Petkovic,FW,0,15
Bruno Zuculini,MF,2,7
Bryan Cristante,MF,15,178
Bryan Dabo,MF,4,48
Bryan Pelé,FW,2,21
Bukayo Saka,FW,6,74
Burak Yilmaz,FW,16,66
Burgui,MF,2,23
Cabral,DF,1,27
Caglar Söyüncü,DF,3,36
Caiuby,FW,5,74
Cala,DF,5,31
Callum Hudson-Odoi,FW,3,44
Callum Paterson,FW,4,41
Callum Robinson,FW,6,43
Callum Wilson,FW,42,221
Calum Chambers,MF,2,35
Camillo Ciano,FW,7,77
Carles Aleñá,MF,5,58
Carles Pérez,FW,2,23
Carlos Bacca,FW,28,142
Carlos Clerc,DF,0,10
Carlos Fernández,FW,11,47
Carlos Gruezo,MF,0,16
Carlos Neva,DF,0,16
Carlos Salcedo,DF,0,6
Carlos Soler,MF,16,141
Casemiro,MF,18,163
Cedric Teuchert,FW,3,24
Celso Borges,MF,3,32
Cengiz Ünder,FW,13,112
Cenk Tosun,FW,3,37
Cesc Fàbregas,MF,4,57
Chadrac Akolo,FW,7,56
Charalampos Lykogiannis,DF,4,42
Charles Aránguiz,MF,4,77
Charles Traore,DF,1,19
Charlie Austin,FW,9,79
Charlie Daniels,DF,2,32
Charlie Taylor,DF,0,10
Che Adams,FW,13,91
Cheick Doukoure,MF,1,18
Cheick Timite,FW,1,35
Cheick Traoré,DF,0,8
Cheikh Ndoye,MF,0,39
Cheikhou Kouyaté,DF,4,73
Chidozie Awaziem,DF,1,24
Chris Basham,DF,0,16
Chris Brunt,MF,0,24
Chris Löwe,DF,0,26
Chris Smalling,DF,8,50
Chris Wood,FW,46,233
Christian Atsu,FW,3,68
Christian Benteke,FW,16,197
Christian Eriksen,MF,21,208
Christian Fuchs,DF,0,11
Christian Gebauer,MF,1,10
Christian Gentner,MF,5,95
Christian Groß,MF,0,7
Christian Günter,DF,6,113
Christian Kabasele,DF,2,27
Christian Kouakou,MF,1,26
Christian Kouamé,FW,5,104
Christian Mathenia,GK,0,0
Christian Pulisic,FW,21,171
Christian Strohdiek,DF,1,8
Christoph Baumgartner,MF,13,117
Christoph Kramer,MF,5,40
Christoph Zimmermann,DF,0,6
Christophe Herelle,DF,3,41
Christophe Kerbrat,DF,1,9
Christopher Antwi-Adjei,MF,1,46
Christopher Jullien,DF,2,50
Christopher Lenz,DF,0,30
Christopher Nkunku,MF,18,150
Christopher Schindler,DF,1,23
Christopher Trimmel,DF,1,13
Ciaran Clark,DF,3,19
Ciro Immobile,FW,100,495
Claud Adjapong,DF,0,14
Claudio Beauvue,FW,5,80
Claudio Bravo,GK,0,0
Claudio Marchisio,MF,0,12
Claudio Pizarro,FW,6,45
Claudio Terzi,DF,1,5
Claudio Yacob,MF,0,7
Clement Depres,FW,5,28
Clement Lenglet,DF,7,40
Clement Michelin,DF,0,12
Clément Grenier,MF,11,103
Coke,DF,3,20
Colin Dagba,DF,1,10
Collin Quaner,FW,0,16
Conor Coady,DF,1,7
Conor Gallagher,MF,2,29
Conor Hourihane,MF,3,29
Conor Townsend,DF,0,11
Corentin Jean,MF,2,60
Corentin Tolisso,MF,7,54
Craig Cathcart,DF,3,15
Craig Dawson,DF,7,57
Cristhian Stuani,FW,40,152
Cristian Ansaldi,DF,9,104
Cristian Battocchio,MF,3,24
Cristian Molinaro,DF,0,2
Cristian Rivera,MF,2,14
Cristian Romero,DF,5,49
Cristian Tello,DF,15,123
Cristian Zapata,DF,1,12
Cristiano Biraghi,DF,5,103
Cristiano Lombardi,DF,0,14
Cristiano Piccini,DF,1,12
Cristiano Ronaldo,FW,107,728
Cuco Martina,DF,0,2
Curtis Jones,MF,1,19
Cyrus Christie,DF,0,12
Cédric Bakambu,FW,9,31
Cédric Brunner,DF,0,6
Cédric Soares,DF,1,33
Cédric Yambéré,DF,3,30
César Azpilicueta,DF,6,70
Daam Foulon,DF,0,1
Daichi Kamada,MF,7,84
Dalbert,DF,0,18
Dale Stephens,MF,1,49
Daley Sinkgraven,DF,0,6
Damien Da Silva,DF,11,60
Damien Le Tallec,MF,5,62
Damián Musto,MF,0,14
Damián Suárez,DF,3,56
Dan Burn,DF,1,30
Dan Gosling,MF,7,57
Dan Ndoye,FW,1,12
Dan-Axel Zagadou,DF,3,14
Dani Alves,DF,2,54
Dani Calvo,DF,2,8
Dani Castellano,DF,0,4
Dani Ceballos,MF,3,48
Dani Escriche,FW,1,10
Dani García,MF,0,26
Dani Gómez,FW,2,31
Dani Olmo,MF,5,77
Dani Rodríguez,MF,5,51
Daniel Baier,MF,1,69
Daniel Bessa,MF,1,31
Daniel Brosinski,DF,8,83
Daniel Caligiuri,MF,21,169
Daniel Carriço,DF,1,8
Daniel Carvajal,DF,2,44
Daniel Ciofani,FW,5,53
Daniel Congré,DF,5,48
Daniel Didavi,MF,15,102
Daniel Ginczek,FW,16,101
Daniel James,FW,6,59
Daniel Opare,DF,0,5
Daniel Parejo,MF,27,150
Daniel Sturridge,FW,2,18
Daniel Torres,MF,0,4
Daniel Wass,DF,10,134
Daniele Baselli,MF,8,89
Daniele Bonera,DF,0,2
Daniele De Rossi,MF,2,16
Daniele Dessena,MF,2,20
Daniele Rugani,DF,5,21
Daniele Verde,FW,10,94
Danijel Subasic,GK,0,0
Danilo,MF,4,53
Danilo Avelar,DF,1,7
Danilo Pereira,MF,2,17
Danny Ings,FW,41,206
Danny Latza,MF,2,119
Danny Rose,DF,0,15
Danny Simpson,DF,0,3
Danny Williams,MF,0,12
Dante,DF,2,39
Darijo Srna,DF,0,10
Dario Dainelli,DF,0,3
Darko Brasanac,MF,4,49
Darko Lazovic,MF,9,116
Darnell Furlong,DF,1,26
Darren Fletcher,MF,1,11
Darwin Machís,FW,11,119
Daryl Janmaat,DF,3,35
Darío Benedetto,FW,16,100
David Abraham,DF,2,19
David Alaba,DF,8,111
David Brooks,MF,7,41
David Costas,DF,0,2
David Ferreiro,FW,3,62
David García,DF,1,31
David Juncà,DF,0,9
David López,DF,5,38
David McGoldrick,FW,10,116
David Ospina,GK,0,0
David Silva,MF,9,54
David Soria,GK,0,0
David Timor,MF,5,49
David Zurutuza,MF,2,24
David de Gea,GK,0,0
Davide Astori,DF,1,9
Davide Biraschi,DF,0,22
Davide Calabria,DF,5,55
Davide Santon,DF,0,12
Davide Zappacosta,DF,5,66
Davie Selke,FW,16,119
Davinson Sánchez,DF,1,35
Davy Klaassen,MF,12,78
Davy Pröpper,MF,2,80
Dawid Kownacki,FW,5,21
DeAndre Yedlin,DF,2,18
Dean Henderson,GK,0,1
Declan Rice,MF,5,86
Dejan Kulusevski,MF,14,96
Dejan Lovren,DF,2,13
Dele Alli,MF,22,162
Demarai Gray,MF,9,106
Denis Bouanga,MF,25,265
Denis Cheryshev,MF,5,103
Denis Odoi,DF,0,10
Denis Suárez,MF,3,48
Denis Zakaria,MF,9,90
Dennis Aogo,MF,0,25
Dennis Appiah,DF,0,7
Dennis Diekmeier,DF,0,6
Dennis Geiger,MF,2,33
Dennis Praet,MF,5,91
Dennis Srbeny,FW,5,28
Denys Bain,DF,1,3
Dereck Kutesa,MF,1,10
Deyovaisio Zeefuik,DF,1,3
Deyverson,FW,1,14
Diadie Samassékou,MF,0,22
Diego Benaglio,GK,0,0
Diego Carlos,DF,6,94
Diego Demme,MF,3,44
Diego Falcinelli,FW,0,15
Diego Farias,FW,7,99
Diego Godín,DF,5,49
Diego González,DF,2,17
Diego Lainez,FW,0,19
Diego Laxalt,DF,3,37
Diego Llorente,DF,5,45
Diego López,GK,0,0
Diego Perotti,FW,10,53
Diego Rico,DF,2,36
Diego Rolan,FW,5,45
Dimitri Bisoli,MF,1,25
Dimitri Foulquier,MF,4,28
Dimitri Payet,MF,26,206
Dimitrios Siovas,DF,4,80
Diogo Dalot,DF,1,25
Divock Origi,FW,10,75
Djibril Sidibe,DF,2,55
Dmitri Lienard,MF,9,139
Dodi Lukebakio,FW,22,138
Domagoj Bradaric,DF,1,9
Domenico Berardi,FW,43,444
Domenico Criscito,DF,11,61
Domenico Maietta,DF,0,7
Domingos Duarte,DF,4,19
Dominic Calvert-Lewin,FW,39,262
Dominic Solanke,FW,4,54
Dominick Drexler,MF,5,31
Dominik Kohr,MF,2,106
Dominique Heintz,DF,2,25
Douglas Costa,FW,6,74
Douglas Luiz,MF,3,90
Douglas Santos,DF,1,21
Dries Mertens,FW,52,347
Duje Caleta-Car,DF,3,34
Duje Cop,FW,0,16
Dusan Tadic,MF,6,40
Dusan Vlahovic,FW,27,151
Duván Zapata,FW,67,358
Dwight Gayle,FW,11,96
Dwight McNeil,MF,7,102
Dylan Bronn,DF,2,16
Dídac Vilá,DF,0,41
Eberechi Eze,MF,4,37
Ebrima Colley,FW,1,17
Eddie Nketiah,FW,2,12
Eddie Salcedo,FW,3,43
Eden Hazard,FW,29,183
Ederson,DF,0,0
Edgar Badía,GK,0,0
Edgar Barreto,MF,1,20
Edgar Ié,DF,1,16
Edgar Méndez,MF,6,44
Edimilson Fernandes,MF,3,44
Edin Dzeko,FW,48,475
Edinson Cavani,FW,56,192
Edmond Tapsoba,DF,1,16
Edoardo Goldaniga,DF,1,21
Edouard Mendy,GK,0,0
Edu Expósito,MF,4,77
Eduard Löwen,MF,5,52
Eduardo Camavinga,MF,2,41
Efthymios Koulouris,FW,4,38
Eiji Kawashima,GK,0,1
El Bilal Touré,FW,4,19
Eldor Shomurodov,FW,8,38
Elias Kachunga,FW,1,26
Eljif Elmas,MF,3,37
Ellyes Skhiri,MF,13,107
Elseid Hysaj,DF,1,37
Elvis Rexhbecaj,MF,7,39
Emanuel Vignato,FW,1,23
Emanuele Giaccherini,MF,3,32
Emanuele Ndoj,MF,0,9
Emerson,DF,4,37
Emerson,DF,0,13
Emil Audero,GK,0,0
Emil Forsberg,MF,18,126
Emil Hallfredsson,MF,0,2
Emil Krafth,DF,2,21
Emile Smith-Rowe,MF,2,13
Emiliano Buendía,FW,1,40
Emiliano Insúa,DF,2,19
Emiliano Martinez,GK,0,0
Emiliano Moretti,DF,0,5
Emiliano Rigoni,MF,1,16
Emiliano Sala,FW,24,131
Emiliano Velázquez,DF,0,8
Emiliano Viviano,GK,0,0
Emmanuel Boateng,FW,7,61
Emmanuel Bourgaud,MF,0,11
Emmanuel Gyasi,FW,4,29
Emmanuel Imorou,DF,0,3
Emmanuel Rivière,FW,6,81
Emre Can,MF,8,76
Emre Colak,MF,1,17
Emre Mor,FW,1,12
Enda Stevens,DF,2,38
Enes Ünal,FW,22,195
Enis Bardhi,MF,20,197
Enock Kwateng,DF,1,9
Enric Gallego,FW,5,46
Enrico Brignola,FW,3,33
Enrico Valentini,DF,0,8
Enzo Crivelli,FW,6,21
Enzo Le Fée,MF,0,31
Eraso,MF,4,41
Eric Dier,DF,3,63
Eric Maxim Choupo-Moting,FW,6,45
Erick Cabaco,DF,2,15
Erick Pulgar,MF,17,116
Erik Durm,DF,1,30
Erik Lamela,FW,9,99
Erik Pieters,DF,1,33
Erik Thommy,DF,7,86
Erling Haaland,FW,40,125
Ermedin Demirovic,FW,5,42
Ernest Seka,DF,1,15
Ervin Zukanovic,DF,0,41
Erwin Zelazny,GK,0,0
Esteban Burgos,DF,1,3
Esteban Granero,MF,4,43
Esteban Rolón,MF,0,8
Estupiñán,DF,1,29
Ethan Ampadu,DF,0,7
Etienne Capoue,MF,3,68
Etrit Berisha,GK,0,0
Evgen Shakhov,MF,1,14
Ewerton,DF,0,8
Ezequiel Garay,DF,2,26
Ezequiel Muñoz,DF,0,5
Ezequiel Ponce,FW,2,21
Ezequiel Ávila,FW,19,159
Ezgjan Alioski,DF,2,25
Fabian Delph,MF,1,13
Fabian Johnson,DF,1,3
Fabian Klos,FW,5,54
Fabian Kunze,MF,0,7
Fabian Lustenberger,MF,0,5
Fabian Schär,DF,9,75
Fabien Centonze,DF,1,33
Fabien Lemoine,MF,1,16
Fabinho,DF,10,64
Fabio,DF,0,8
Fabio Borini,FW,4,67
Fabio Ceravolo,FW,2,20
Fabio Depaoli,DF,0,52
Fabio Lucioni,DF,3,14
Fabio Pisacane,DF,2,19
Fabio Quagliarella,FW,69,434
Fabián,MF,14,205
Fabián Balbuena,DF,2,29
Fabián Orellana,MF,20,178
Fabrizio Cacciatore,DF,2,24
Facundo Ferreyra,FW,1,7
Facundo Medina,DF,2,9
Facundo Píriz,MF,0,9
Facundo Roncaglia,DF,1,21
Falcao,FW,18,70
Fallou Diagne,DF,1,14
Faouzi Ghoulam,DF,1,9
Farid Boulaya,MF,8,103
Farid El Melali,FW,0,20
Faycal Fajr,MF,6,73
Fede Cartabia,FW,2,32
Fede Vico,MF,2,28
Federico Barba,DF,0,22
Federico Bernardeschi,FW,7,144
Federico Bonazzoli,FW,8,68
Federico Ceccherini,DF,1,33
Federico Chiesa,FW,32,424
Federico Di Francesco,FW,5,86
Federico Dimarco,DF,5,37
Federico Fazio,DF,8,52
Federico Fernández,DF,3,31
Federico Mattiello,MF,1,18
Federico Peluso,DF,2,21
Federico Ricci,FW,1,27
Federico Santander,FW,9,101
Federico Valverde,MF,5,68
Federico Viviani,MF,3,52
Felipe,FW,5,67
Felipe Anderson,MF,14,107
Felipe Caicedo,FW,28,120
Felix Agu,DF,1,4
Felix Eboa Eboa,DF,4,21
Felix Klaus,FW,5,93
Felix Kroos,MF,0,5
Felix Uduokhai,DF,2,21
Ferland Mendy,DF,4,59
Fernandinho,DF,6,107
Fernando,MF,5,21
Fernando Calero,DF,1,10
Fernando Forestieri,FW,1,11
Fernando Llorente,FW,5,63
Fernando Marçal,DF,0,2
Fernando Navarro,DF,0,0
Fernando Pacheco,GK,0,0
Fernando Torres,FW,5,30
Ferrán Torres,MF,13,86
Fidel,MF,6,18
Fikayo Tomori,DF,2,12
Filip Bradaric,MF,0,14
Filip Helander,DF,0,13
Filip Kostic,DF,19,267
Filip Malbasic,FW,0,9
Filipe Luis,DF,1,5
Filippo Costa,DF,0,7
Filippo Falco,FW,4,56
Filippo Romagna,DF,0,10
Flavien Tait,MF,12,182
Flavius Daniliuc,DF,1,9
Florent Balmont,MF,1,10
Florent Hadergjonaj,DF,0,15
Florent Mollet,MF,22,224
Florent Muslija,MF,2,20
Florian Aye,FW,0,24
Florian Grillitsch,MF,3,88
Florian Kainz,FW,8,75
Florian Kastenmeier,GK,0,0
Florian Kath,FW,1,16
Florian Lejeune,DF,1,36
Florian Miguel,DF,1,26
Florian Müller,GK,0,0
Florian Neuhaus,MF,13,156
Florian Niederlechner,FW,22,156
Florian Sotoca,FW,8,71
Florian Thauvin,FW,46,300
Florian Wirtz,MF,5,31
Florin Andone,FW,9,75
Floyd Ayité,FW,1,7
Fouad Chafik,DF,1,26
Fousseni Diabate,FW,1,7
Fran Beltrán,MF,5,50
Fran Gámez,DF,0,14
Fran Mérida,MF,0,13
Francesco Acerbi,DF,5,56
Francesco Caputo,FW,48,212
Francesco Cassata,MF,4,27
Francesco Magnanelli,MF,0,30
Francesco Vicari,DF,2,24
Francesco Zampano,DF,0,15
Francis,DF,0,10
Francis Coquelin,MF,0,22
Francisco Portillo,MF,3,32
Franck Honorat,MF,8,41
Franck Kessié,MF,29,215
Franck Ribéry,FW,16,91
Franck Tabanou,DF,0,2
Franco Di Santo,FW,3,30
Franco Vázquez,MF,11,119
Francois Bellugou,MF,0,1
Francois Kamano,FW,18,144
François Moubandje,DF,0,10
Fraser Forster,GK,0,0
Fred,MF,2,82
Frederic Guilbert,DF,2,33
Frederic Sammaritano,FW,0,41
Frederic Veseli,DF,0,5
Frenkie de Jong,MF,5,21
Gabriel,MF,4,30
Gabriel Jesus,FW,43,254
Gabriel Mercado,DF,2,12
Gabriel Strefezza,DF,1,53
Gabriele Zappa,DF,0,11
Gaetan Laborde,FW,36,281
Gaetan Paquiez,DF,0,13
Gaetano Castrovilli,MF,8,81
Gaetano Letizia,DF,4,35
Gaku Shibasaki,MF,1,10
Gareth Bale,FW,37,224
Gareth Barry,MF,1,16
Gary Cahill,DF,1,42
Gary Medel,MF,0,5
Gastón Brugman,MF,1,28
Gastón Pereiro,MF,2,14
Gastón Ramírez,MF,14,128
Gautier Larsonneur,GK,0,0
Gaël Kakuta,MF,19,150
Gaëtan Bong,DF,0,6
Gaëtan Charbonnier,MF,10,86
Gelson Fernandes,MF,1,5
